Ticker,Industry,Sector,Fiscal_Year_End,ROE,Annual_EPS,Annual_EPS_Growth,Annual_Net_Income_Growth,Annual_Basic_Shares_Outstanding,Annual_Sales_Growth,Quarter_EPS,Quarter_EPS_Growth,Quarter_Net_Income_Growth,Quarter_Net_Margin,Quarter_Sales_Growth,Total_Shareholders_Equity,Liabilities_&_Shareholders_Equity,Net_Operating_Cash_Flow
AEIS,Electronic Production Equipment,Electronic Technology,12/2023,20.843,5.29 3.51 3.49 1.69 3.74,50.68% 0.54% 107.13% -54.85% -,49.91% -0.32% 139.27% -61.61% -,37 38 38 38 39,26.75% 2.83% 79.46% 9.74% -,0.86 0.72 0.82 1.16 1.97,20.41% -12.34% -29.45% -41.10% -,22.57% -13.53% -29.98% -39.43% -,10.94% - - - -,-1.33% -2.24% -13.39% -4.95% -,1066 871 815 677 607,1992 1817 1648 1532 816,183587.0 140245.0 201236.0 48392.0 151271.0
AEMD,Medical Specialties,Health Technology,03/2024,-74.725,(5.86) (7.06) (6.52) (18.67) (51.27),17.01% -8.21% 65.05% 63.59% -,-15.49% -32.07% -23.73% -2.89% -,2053.7 1475.7 1209.1 341.5 120.8,95.21% -55.37% 1.37% 183.15% -,(1.22) (1.35) (1.07) (1.24) (1.84),9.49% -25.82% 13.61% 32.33% -,7.55% -33.05% 13.43% 25.15% -,-2094.89% - - - -,- 0.00% 0.00% - -,15064.2 17133.1 9430.6 9409.6 2425.1,17508.9 19418.0 10668.9 10387.7 4123.0,(10505.1) (9767.2) (6764.9) (5197.6) (4293.4)
AENT,Electronics Distributors,Distribution Services,06/2024,-36.45,(0.74) 0.20 0.23 0.00 -,-459.13% -9.26% 56525.00% 0.00% -,-1302.77% -9.27% 59344.08% 0.00% -,48 14 14 13 -,0.00% - - - -,(0.07) (0.09) (0.16) 0.09 (0.02),27.18% 41.12% -283.49% 531.68% -,25.23% 40.26% -718.37% 531.44% -,-3.06% - - - -,-8.25% 8.52% 0.00% - -,79534.0 114726.4 111782.8 19.5 -,389530.0 117829.9 117083.9 624.4 -,3388.0 (1208.6) (340.6) (400.6) -
AEP,Electric Utilities,Utilities,12/2023,9.961,4.49 4.96 4.42 3.88 3.90,-9.38% 12.06% 14.08% -0.45% -,-7.27% 13.09% 14.52% -0.14% -,512 501 496 494 493,16.19% 11.51% -4.04% -3.91% -,1.83 1.01 0.77 0.74 1.33,81.16% 31.12% 3.66% -44.02% -,82.98% 31.28% 3.30% -43.79% -,11.95% - - - -,19.02% -7.15% -2.12% -8.49% -,23893 22433 20551 19632 19028,96872 90946 84017 79138 71554,5288 3840 3833 4270 5223
AEY,Wholesale Distributors,Distribution Services,12/2023,4.192,0.35 (5.24) (15.53) (5.12) (7.13),106.66% 66.23% -203.39% 28.18% -,107.24% 62.49% -329.56% 30.23% -,1348.4 1240.1 1116.4 1036.1 1027.3,56.09% 23.87% -8.96% 100.63% -,(1.91) (2.02) (2.07) (0.35) 1.09,5.51% 2.22% -488.99% -132.32% -,3.78% -3.13% -457.40% -133.24% -,0.49% - - - -,-14.45% -17.88% -24.72% -24.58% -,12047.0 10427.0 14933.0 29446.6 34527.3,27218.0 27312.0 32503.0 36828.3 44394.6,2184.0 (7510.0) (3824.0) (4808.6) 3825.4
AEYE,Internet Software/Services,Technology Services,12/2023,-74.03,(0.91) (1.29) (0.77) (0.97) (0.74),29.71% -67.07% 19.91% -31.30% -,26.57% -98.51% 8.03% -55.05% -,11477.0 11040.0 9313.0 8107.2 6892.2,22.08% 19.67% 90.20% 90.18% -,(0.11) (0.17) (0.17) (0.17) (0.20),31.83% 2.72% -3.60% 16.27% -,31.32% 1.89% -4.52% 15.72% -,-34.88% - - - -,0.03% 0.82% 0.44% 0.49% -,10589.0 17597.0 7634.0 1564.7 5874.9,24428.0 29313.0 18254.0 9152.2 9104.1,(4471.0) (4707.0) (1698.0) (5436.8) (1643.9)
AEZS,Pharmaceuticals: Major,Health Technology,12/2023,-51.209,(6.09) (2.28) (4.18) (11.46) 8.25,-167.00% 45.37% 63.54% -238.83% -,-182.02% -52.83% 14.37% -247.73% -,4855.9 4597.0 1643.3 699.8 657.6,11.34% 34.63% 593.92% -97.97% -,(1.14) (0.70) (1.19) (3.48) (0.92),-64.40% 41.24% 65.95% -278.42% -,-64.39% 41.24% 65.95% -278.41% -,-402.96% - - - -,-99.87% 4.80% -14.69% 38.87% -,48474.7 66929.3 16830.8 (3193.9) 2604.6,75912.4 101180.8 47144.4 25910.4 40183.2,(17809.4) (10758.3) (5538.2) (14231.0) 8846.2
AFIB,Medical Specialties,Health Technology,12/2023,-43.836,(1.40) (4.11) (8.94) (3.54) (1.75),65.94% 54.06% -152.71% -102.55% -,66.34% -15.40% -5.09% -102.56% -,28322.8 28654.3 11407.5 27430.8 27430.8,-5.21% 103.96% 198.45% 30.93% -,(0.45) (0.63) (0.57) 0.41 (0.72),28.40% -11.39% -239.81% 156.33% -,27.85% -12.45% -207.99% 173.97% -,-242.11% - - - -,-0.96% 26.83% -15.96% 36.17% -,75019.0 105726.0 126583.0 (225811.0) (131824.0),133440.0 169792.0 192535.0 105455.0 25948.0,(85032.0) (99682.0) (85169.0) (55986.0) (33780.0)
AFMD,Biotechnology,Health Technology,12/2023,-56.883,(0.63) (0.57) (0.56) (0.56) (0.38),-11.60% -0.71% -0.18% -48.51% -,-32.94% -44.18% -30.18% -57.65% -,142362.3 119502.4 83471.6 64242.4 60514.4,-8.91% 47.58% 35.03% -14.50% -,(0.18) (0.21) (0.23) (0.23) (0.11),17.18% 6.79% 1.50% -109.80% -,17.18% 6.77% -0.60% -105.47% -,-207.98% - - - -,41.09% -68.74% -57.48% -24.06% -,163198.5 154603.5 88087.0 43403.7 45873.5,213996.4 256023.5 215008.3 126123.0 132804.3,(110238.8) (102348.9) (22115.5) (32520.9) 58324.5
AFRM,Finance/Rental/Leasing,Finance,06/2024,-38.248,(3.34) (2.51) (2.78) (0.49) (0.52),-32.86% 9.82% -469.84% 6.52% -,-39.29% -60.40% -291.68% 6.52% -,295 282 158 257 257,17.69% 55.01% 70.84% 92.74% -,(0.57) (0.69) (0.69) (1.10) (0.86),17.75% 0.66% 36.97% -27.12% -,16.59% -0.14% 36.21% -28.32% -,-62.05% - - - -,11.38% 17.02% -4.65% 10.49% -,2534 2618 2576 437 535,8156 6974 4867 1402 1149,12181.0 (162194.0) (193130.0) (78989.0) (92499.0)
AFYA,Other Consumer Services,Consumer Services,12/2023,12.744,0.80 0.44 0.61 0.51 0.26,80.50% -27.39% 18.95% 95.16% -,74.78% -26.91% 45.12% 65.21% -,90335.0 93291.5 92683.8 75969.8 89744.3,41.54% 36.83% 22.38% 108.34% -,0.21 0.19 0.24 0.14 0.16,14.40% -22.45% 77.35% -15.16% -,14.33% -22.56% 70.19% -12.14% -,16.04% - - - -,2.94% 5.27% 23.06% 0.39% -,606 529 536 513 130,1364 1158 923 724 237,164711.1 119091.1 72023.1 75851.6 21967.2
AGFY,Trucks/Construction/Farm Machinery,Producer Manufacturing,12/2023,-294.51,(902.19) (292.93) (213.03) (29.98) (9.99),-207.98% -37.51% -610.61% -200.02% -,-479.62% -50.18% -610.62% -200.00% -,208.6 111.0 101.5 101.5 101.5,-2.67% 395.23% 195.67% 131.09% -,- (4.39) (9.63) (38.16) (346.51),0.00% 54.40% 74.76% 88.99% -,69.26% 34.10% 73.94% 14.36% -,-322.99% - - - -,-38.04% -12.72% -1.46% -16.08% -,(9272.0) 137059.0 (6679.0) (765.0) (1758.0),69687.0 182048.0 21839.0 3267.0 2196.0,(72021.0) (30149.0) (14782.0) (3441.0) 49.0
AGIO,Pharmaceuticals: Major,Health Technology,12/2023,-19.375,(4.23) 26.55 (4.74) (6.86) (6.03),-115.94% 659.53% 30.82% -13.81% -,34.98% -8.26% 19.97% -18.91% -,54789.4 60447.3 68997.9 59994.5 57418.3,0.00% - 0.00% 24.92% -,(1.64) (1.51) (1.47) 0.66 (1.49),-8.58% -2.81% -320.92% 144.52% -,-8.97% -3.44% -321.81% 144.68% -,-1627.82% - - - -,10.24% 19.66% 30.14% 22.58% -,1101 1292 400 641 688,1239 1438 853 891 858,(309478.0) (407320.0) (290759.0) (370622.0) (304421.0)
AGRI,Miscellaneous Commercial Services,Commercial Services,12/2023,-138.848,(0.71) (0.49) (0.29) (0.39) -,-46.44% -69.35% 25.64% 0.00% -,-93.78% -106.21% 37.07% 0.00% -,18080.3 15176.7 14521.6 14521.6 -,(0.08) (0.10) (0.07) (0.17) (0.17),20.36% -39.59% 58.41% -4.87% -,-38.23% -46.91% 37.51% 18.96% -,- - - -,10542.7 8000.1 1403.5 2994.7 -,21846.9 11765.4 3365.9 4370.3 -,(13714.3) (5136.9) (1851.7) (4307.5) -
AGRX,Pharmaceuticals: Major,Health Technology,12/2023,"-1,364.037",(58.79) (58567.98) (1224.64) (752.78) (1152.76),99.90% -4682.47% -62.68% 34.70% -,64.24% -37.05% -178.69% 5.93% -,432.2 1.2 42.3 24.7 17.2,165.40% 447.53% 0.00% - -,(0.27) (2.15) (5.91) (4.76) (26.58),87.42% 63.58% -24.04% 82.07% -,79.02% 29.33% -37.19% 80.02% -,-233.48% - - - -,21.06% 44.32% -4.58% 33.11% -,(5545.0) 3915.0 49328.0 45745.0 20174.0,14242.0 39333.0 73062.0 49540.0 22392.0,(35772.0) (65071.0) (47311.0) (15689.0) (16895.0)
AGYS,Packaged Software,Technology Services,03/2024,10.507,0.49 0.18 (1.01) (1.47) (0.57),169.81% 118.10% 31.36% -156.62% -,125.10% 130.85% 38.35% -158.79% -,24694.0 24357.0 23458.0 23233.0 23037.0,21.78% 18.56% -14.67% 14.14% -,0.16 0.04 0.14 0.13 0.12,275.96% -69.79% 4.56% 8.93% -,193.60% -62.01% 4.70% 8.84% -,7.36% - - - -,4.56% 5.98% 5.96% 4.56% -,144769.0 132803.0 115335.0 71757.0 100622.0,243036.0 214162.0 189873.0 154562.0 163591.0,34463.0 28475.0 28407.0 10575.0 7241.0
AHCO,Finance/Rental/Leasing,Finance,12/2023,3.291,0.50 1.17 (3.08) (0.95) 1.95,-57.52% 138.12% -225.48% -148.40% -,-55.62% 196.62% -657.38% -191.75% -,134 126 52 23 12,21.02% 132.35% 99.45% 53.40% -,(3.37) 0.09 (0.06) (0.02) 0.11,-3686.69% 269.49% -187.05% -117.99% -,-3648.86% -11.02% 655.64% -117.53% -,2.33% - - - -,1.35% 6.53% -4.57% 3.14% -,2151 2062 355 (39) 100,5353 5391 1817 551 373,373867.0 275679.0 195634.0 60418.0 68426.8
AHI,Packaged Software,Technology Services,06/2024,-315.525,(0.07) (0.13) (0.11) (0.05) (0.05),46.94% -16.79% -117.05% 0.00% -,36.11% -42.78% -160.56% -23.85% -,184836.9 153488.8 125501.4 104619.4 84454.8,229.45% -66.76% 324.15% 2911.63% -,(0.04) (0.02) (0.05) (0.10) (0.07),-106.03% 59.39% 52.05% -55.79% -,-128.37% 52.19% 43.55% -68.49% -,-1974.33% - - - -,-18.48% 544.25% -60.78% 124.98% -,2027.9 8555.4 1978.1 462.5 548.8,8907.1 10663.6 5421.2 2954.5 2631.1,(7367.2) (7293.7) (4102.1) (2697.3) (3258.8)
AIB,Financial Conglomerates,Finance,12/2023,1.377,0.05 0.00 - - -,2590.48% 0.00% - - -,2627.86% 0.00% - - -,11252.2 11252.2 - - -,(0.04) (0.09) 0.00 0.05 0.03,59.82% -3695.83% -104.72% 98.05% -,59.80% -3624.86% -101.55% 98.17% -,- - - -,85447.0 1.7 - - -,88637.8 322.1 - - -,(778.8) (6.6) - - -
AIH,Medical/Nursing Services,Health Services,12/2023,N/A,(0.14) (1.38) (0.52) 0.43 (0.54),89.98% -163.92% -222.11% 179.83% -,87.55% -166.61% -272.94% 151.14% -,27303.9 21986.7 21765.8 15366.0 23987.9,-0.59% -23.36% 3.86% 9.31% -,(0.01) 0.00 (0.03) (0.11) 0.00,-2016.67% 102.00% 71.80% -3446.67% -,-2239.53% 102.49% 62.54% -3464.40% -,-11.38% - - - -,11.56% -5.84% -5.19% -9.39% -,(16349.7) (24581.6) 59771.9 78596.7 (40550.9),78595.2 90523.8 158733.6 150327.3 98539.0,(13302.8) 5950.4 (1477.6) 10906.6 (81.0)
AIMD,Medical Specialties,Health Technology,12/2023,-62.495,(5.14) (2.57) (2.67) (2.97) (2.82),-99.45% 3.59% 10.16% -5.54% -,-260.19% -168.07% 8.26% -18.13% -,2727.5 1510.3 543.1 532.0 475.3,491.97% 3489.71% 41.19% -84.91% -,(0.73) (0.58) (0.63) (0.54) (2.56),-25.42% 7.18% -17.41% 79.01% -,-26.65% 6.77% -18.28% 72.76% -,-397.96% - - - -,-14.24% -41.92% -95.26% -40.95% -,34628.0 10197.1 (838.3) (156.7) 730.1,37109.0 40822.2 260.3 596.6 1463.7,(3021.2) (1250.0) (499.6) (909.5) (1009.2)
AIRG,Semiconductors,Electronic Technology,12/2023,-20.617,(0.85) (1.01) (0.34) 0.09 (0.27),15.59% -198.22% -468.16% 133.79% -,14.16% -207.62% -454.10% 135.83% -,10190.0 10019.0 9714.0 9684.0 9520.9,18.08% 32.52% -12.98% -8.06% -,(0.18) (0.21) (0.28) (0.31) (0.13),14.83% 23.92% 11.59% -147.56% -,14.69% 22.85% 11.24% -147.88% -,-11.41% - - - -,-13.48% -3.73% -17.32% 3.60% -,39825.0 44173.0 47742.0 47904.0 45147.3,57553.0 70162.0 55473.0 54222.0 52551.8,4509.0 (11144.0) 3704.0 2350.0 1376.5
AIRT,Air Freight/Couriers,Transportation,03/2024,-67.338,(4.32) 3.78 (2.52) 2.74 0.29,-214.13% 249.86% -192.28% 837.38% -,-212.51% 250.09% -1680.20% -117.43% -,2847.0 2880.0 2882.0 2791.0 4578.0,39.67% 1.12% -26.04% 9.88% -,(0.57) (0.19) (3.21) (0.21) (0.43),-202.87% 94.13% -1442.07% 51.63% -,-203.01% 94.13% -1432.20% 52.11% -,-4.97% - - - -,10.55% -3.96% 21.14% 1.17% -,11904.0 24613.0 13725.0 24006.0 24359.0,189562.0 207599.0 140750.0 151427.0 115143.0,16909.0 (33084.0) (1819.0) (25074.0) 20936.0
AKAM,Data Processing Services,Technology Services,12/2023,11.781,3.26 3.93 3.37 2.90 1.76,-16.97% 16.56% 16.08% 65.04% -,-19.64% 16.98% 16.53% 60.21% -,159 163 162 163 167,4.49% 8.23% 10.52% 6.60% -,1.04 0.84 0.62 0.82 0.68,23.41% 34.97% -23.95% 20.28% -,24.63% 32.66% -24.58% 19.05% -,14.48% - - - -,3.18% 2.19% -1.30% 5.20% -,4360 4530 4251 3658 3192,8303 8139 7764 7007 5462,1275 1405 1215 1058 1008
AKRO,Pharmaceuticals: Major,Health Technology,12/2023,-45.205,(2.87) (2.89) (2.52) (2.90) (3.04),0.68% -14.94% 13.29% 4.52% -,-11.17% -27.23% -81.02% 46.45% -,38984.8 34827.4 31463.2 15070.7 27045.1,(0.71) (0.60) (0.55) (0.49) (0.92),-18.99% -8.92% -11.58% 46.36% -,-27.59% -20.33% -12.02% 35.12% -,- - - -,326562.0 169109.0 258712.0 128726.0 74809.0,356570.0 195548.0 273339.0 138118.0 77151.0,(92517.0) (79681.0) (70804.0) (35627.0) (4625.0)
AKTS,Telecommunications Equipment,Electronic Technology,06/2024,-67.019,(1.00) (1.09) (1.02) (1.07) (1.06),8.58% -7.46% 5.18% -0.87% -,-7.67% -33.68% -22.18% -23.56% -,63621.7 54021.2 43426.6 33698.5 27512.4,76.68% 131.94% 269.72% 24.05% -,(0.28) (0.25) (0.23) (0.19) (0.33),-12.44% -8.60% -17.71% 42.01% -,-13.31% -14.28% -39.34% 41.56% -,-234.35% - - - -,-15.97% 13.28% 25.42% 5.37% -,86239.0 103430.0 117410.0 41495.0 25955.0,148917.0 161338.0 124994.0 71433.0 47949.0,(44821.0) (45195.0) (29364.0) (21305.0) (17668.0)
AKTX,Biotechnology,Health Technology,12/2023,-483.248,0.00 0.00 (0.01) (18.48) (0.01),31.71% 24.07% 99.97% -172574.77% -,-1.86% -2.01% -1.40% -2.30% -,3121.7 2146.1 1579.5 915.5 770.2,0.00 - - - -,0.00% - - - -,0.00% - - - -,- - - -,1790.7 5554.6 9384.3 7.6 3111.3,13831.6 11648.0 14604.8 6479.8 8029.6,(21504.5) (18846.5) (16950.4) (12918.3) (22580.2)
ALAR,Information Technology Services,Technology Services,12/2023,-70.142,(1.40) (1.56) (2.44) (136.22) (957.58),10.58% 35.80% 98.21% 85.77% -,-4.22% -57.14% 41.74% -9.60% -,31594.0 27106.0 11073.7 340.0 44.1,90.00% 97.64% 43.61% 122.00% -,0.11 (0.81) (0.07) (0.31) (0.25),113.93% -991.20% 76.14% -25.38% -,114.78% -1054.67% 75.90% -25.39% -,-70.03% - - - -,-0.95% 27.08% 11.27% 10.22% -,46967.9 75279.6 52066.3 9591.8 13863.3,78936.1 95407.5 73761.7 61609.0 23795.6,(27722.9) (29623.5) (22738.9) (24093.0) (31408.2)
ALGM,Semiconductors,Electronic Technology,03/2024,22.044,0.97 0.62 0.09 0.20 0.45,55.39% 557.34% -51.49% -56.35% -,56.91% 565.11% -51.44% -56.36% -,191197.5 189748.4 189588.2 189431.8 189431.8,26.67% 30.02% -9.06% -10.25% -,0.34 0.31 0.32 0.33 0.26,7.75% -1.79% -4.48% 26.65% -,7.83% -1.82% -3.94% 27.47% -,19.24% - - - -,-1.00% 3.28% 8.30% 4.68% -,966 734 586 633 589,1191 902 754 833 752,193206.0 156129.0 120570.0 81419.0 121088.0
ALGN,Medical Specialties,Health Technology,12/2023,10.01,4.61 9.69 22.41 5.53 4.92,-52.42% -56.77% 305.48% 12.35% -,-53.17% -56.53% 301.08% 10.63% -,78 79 79 79 80,-5.51% 59.90% 2.71% 22.39% -,1.58 1.46 1.14 0.54 0.93,8.40% 28.05% 111.71% -42.12% -,8.60% 27.35% 110.17% -42.54% -,9.68% - - - -,-4.19% 6.26% 4.62% 1.25% -,3601 3623 3234 1346 1253,5948 5942 4830 2501 2052,569 1173 662 747 555
ALGS,Pharmaceuticals: Major,Health Technology,12/2023,-66.553,- - - - -          - - - - -        Basic Shares Outstanding - - - - -        EPS (Diluted) - - - - -        EPS (Diluted)  - - - - -        Diluted Shares Outstanding - - - - -        EBITDA (93905.0) (124543.0) (94509.0) (51744.0) (12370.0),25.16% -18.23% -107.68% -275.11% -,219.04% 0.00% - - -,- - - - -          - - - - -        Basic Shares Outstanding - - - - -        EPS (Diluted) - - - - -        EPS (Diluted)  - - - - -        Diluted Shares Outstanding - - - - -        EBITDA (18390.0) (18372.0) (23074.0) (21785.0) (18042.0),3.99% 18.14% -4.88% -17.53% -,-690.63% - - - -,-52.96% 152.88% -23.01% -13.86% -,103900.0 184731.0 220039.0 (64891.0) (13748.0),149861.0 239144.0 268968.0 146520.0 107731.0,(79389.0) (115662.0) (74263.0) (46767.0) (6049.0)
ALGT,Airlines,Transportation,12/2023,0.201,0.14 8.68 (11.53) 14.26 10.00,-98.43% 175.34% -180.84% 42.55% -,-98.36% 181.18% -180.60% 43.21% -,18 17 16 16 16,34.77% 72.50% -46.22% 10.41% -,(1.44) 4.80 3.09 2.87 (2.58),-130.02% 55.24% 7.75% 211.17% -,-130.09% 54.49% 6.91% 210.53% -,0.11% - - - -,-17.32% 5.25% 6.24% 9.14% -,1221 1224 699 884 690,4573 4010 3259 3011 2499,303050.0 538193.0 234622.0 442210.0 356612.0
ALKT,Packaged Software,Technology Services,12/2023,-17.269,(0.64) (0.52) (0.67) (0.51) -,-23.05% 22.33% -31.48% 0.00% -,-25.15% 8.83% -22.66% 0.00% -,90956.5 89954.7 84035.4 84035.4 -,34.25% 35.68% 52.49% 0.00% -,(0.16) (0.19) (0.18) (0.05) (0.22),14.08% -3.65% -242.54% 75.63% -,12.87% -4.70% -245.34% 75.50% -,-28.69% - - - -,2.95% 9.61% 8.03% 3.98% -,334046.0 344611.0 179740.0 14643.0 -,504140.0 437767.0 249166.0 52734.0 -,(37788.0) (28959.0) (38145.0) (39085.0) -
ALLR,Pharmaceuticals: Major,Health Technology,12/2023,-155.345,(3093.43) (5866.84) (2831.07) (316.02) -,47.27% -107.23% -795.84% 0.00% -,39.74% -303.64% 53.87% 0.00% -,6.8 4.5 2.3 45.3 -,- - 0.00% 0.00% -,(2.24) (26.28) (177.06) (321.27) (947.81),91.46% 85.16% 44.89% 66.10% -,-86.85% 29.00% -18.11% 43.66% -,- - - -,1890.0 18784.0 24439.0 18087.0 -,14544.0 49633.0 33403.0 31607.0 -,(16817.0) (15050.0) (7251.0) (10113.0) -
ALLT,Computer Communications,Electronic Technology,12/2023,-28.099,(0.87) (0.42) (0.27) (0.25) (0.31),-107.62% -56.25% -5.62% 18.16% -,-112.97% -60.89% -7.96% 16.86% -,36975.4 36050.5 35007.2 34250.6 33710.5,-15.70% 7.12% 23.45% 14.88% -,(0.32) (0.55) (0.30) (0.18) (0.35),41.05% -80.93% -68.20% 48.07% -,40.38% -82.47% -68.63% 47.90% -,-26.10% - - - -,-9.63% 18.56% -36.04% 31.90% -,101973.0 126008.0 130152.0 131851.0 135903.0,212953.0 208795.0 206118.0 220196.0 189844.0,(32565.0) (8370.0) (12225.0) 16092.0 1029.0
ALNY,Pharmaceuticals: Major,Health Technology,12/2023,-526.144,(9.30) (7.20) (7.46) (8.11) (7.57),-29.11% 3.54% 7.96% -7.13% -,-32.64% 0.64% 3.14% -16.37% -,122 118 115 109 101,22.88% 71.31% 124.28% 193.36% -,1.15 (2.21) (1.40) (1.68) (3.32),152.02% -57.84% 16.66% 49.34% -,153.53% -58.54% 16.09% 48.88% -,-109.04% - - - -,135.46% -0.17% -4.70% 26.76% -,(158) 588 1016 1439 1302,3546 3643 3407 2395 1575,(541274.0) (641693.0) (614961.0) (278427.0) (562616.0)
ALPN,Biotechnology,Health Technology,12/2023,-38.467,(1.73) (1.98) (1.34) (2.28) (2.63),12.55% -47.26% 41.15% 13.47% -,-14.76% -80.15% 33.24% -14.70% -,33435.3 25476.9 20826.5 18358.9 13849.5,28.24% 151.13% 436.49% 146.81% -,(0.24) (0.27) (0.28) (0.41) (0.42),13.04% 1.83% 32.16% 2.21% -,10.90% 0.83% 29.68% -42.12% -,-192.13% - - - -,16.87% -8.46% 238.15% -66.82% -,179420.0 120903.0 62158.0 29474.0 44591.0,286686.0 255900.0 144090.0 54093.0 55063.0,(43754.0) (15248.0) 30084.0 (35346.0) (28416.0)
ALPP,Electronic Components,Electronic Technology,12/2023,-18.201,(0.54) (0.95) (0.46) (0.33) (2.22),43.11% -106.28% -38.04% 85.01% -,33.92% -154.75% -37.72% -85.29% -,23847.4 20527.1 16623.4 9400.9 3556.0,102.48% 54.36% 18.84% 97.39% -,(0.18) (0.23) (0.23) (0.19) 0.07,21.75% -2.07% -17.80% -388.04% -,21.10% -2.09% -18.61% -409.41% -,-12.31% - - - -,15.02% -7.06% -4.63% 8.77% -,69992.0 71490.0 (14234.3) (11970.1) (11498.4),156981.8 138913.7 43533.4 35801.6 17940.7,(19578.2) (25423.7) (2075.9) (1942.6) (1254.6)
ALRM,Packaged Software,Technology Services,12/2023,9.297,1.03 1.01 1.53 1.06 0.43,1.90% -34.11% 43.46% 145.86% -,7.81% -32.87% 45.44% 148.74% -,49926.2 49869.9 48950.3 48427.4 47633.7,12.50% 21.19% 23.02% 19.47% -,0.37 0.30 0.28 0.33 0.35,21.99% 8.90% -16.65% -3.91% -,23.58% 9.59% -20.29% -1.35% -,6.69% - - - -,-0.90% 6.75% 0.76% -3.70% -,599 613 468 356 278,1329 1232 732 558 441,56901.0 103157.0 102080.0 47112.0 60710.0
ALRN,Pharmaceuticals: Major,Health Technology,12/2023,-87.415,(6.02) (5.89) (12.14) (23.94) (42.81),-2.17% 51.45% 49.31% 44.08% -,-4.45% -23.67% 27.96% 6.90% -,4539.3 4440.3 1743.3 1226.8 736.9,(0.40) (0.39) (1.05) (1.00) (1.40),-2.24% 62.61% -5.10% 28.59% -,-2.24% 62.61% -5.10% 28.60% -,- - - -,18623.0 43904.0 12162.0 16048.0 19600.0,22007.0 48481.0 16341.0 28120.0 30312.0,(24865.0) (23754.0) (20476.0) (26474.0) (27926.0)
ALTR,Packaged Software,Technology Services,12/2023,-7.338,(0.55) (0.12) (0.14) (0.11) 0.21,-373.57% 19.53% -36.05% -150.80% -,-393.85% 16.25% -39.22% -148.55% -,79472.0 76179.0 73241.0 71544.0 67468.0,7.52% 13.25% 2.40% 15.78% -,(0.05) (0.28) (0.02) 0.14 (0.42),80.55% -1041.80% -117.69% 132.85% -,80.42% -1037.31% -116.24% 136.29% -,-7.59% - - - -,-5.07% -14.98% 3.49% 34.42% -,570 614 379 357 296,1205 1163 830 743 487,39570.0 61623.0 32882.0 31393.0 36230.0
ALVO,Biotechnology,Health Technology,12/2023,N/A,(2.60) 0.13 (0.30) - -,-2132.47% 143.07% 0.00% - -,-12961.49% 143.07% 0.00% - -,197721.7 31250.0 31250.0 - -,0.00% - - - -,(0.70) 0.72 (1.05) (1.29) (0.03),-198.08% 168.29% 18.38% -3625.43% -,-199.47% 168.55% 13.83% -3625.96% -,-618.55% - - - -,305.12% -72.32% -33.51% 25.22% -,(564416.0) 224921.3 220928.2 - -,828443.0 250721.3 251534.0 - -,(312389.0) (630.5) (315.9) - -
ALVR,Biotechnology,Health Technology,12/2023,-75.018,(2.20) (2.74) (2.59) (0.37) (0.13),19.65% -5.57% -608.66% -192.18% -,1.89% -146.42% -192.73% -881.03% -,76654.9 62782.1 26897.4 65106.9 65106.9,- - 0.00% -85.46% -,(0.39) (0.48) (0.44) (0.41) (0.50),18.75% -8.38% -7.76% 17.30% -,2.20% -9.92% -7.99% 9.36% -,- - - -,224519.0 225266.0 353064.0 121624.0 21582.0,277079.0 286594.0 370821.0 139422.0 25319.0,(142052.0) (106319.0) (60811.0) (20155.0) 1943.0
ALYA,Information Technology Services,Technology Services,03/2024,-15.258,(0.32) (0.18) (0.30) (0.70) (0.34),-75.32% 38.80% 57.64% -108.14% -,-93.57% 10.32% 56.29% -217.97% -,94178.5 85297.8 58209.4 56399.5 36129.6,19.37% 52.23% 3.10% 33.19% -,(0.10) (0.08) (0.21) (0.06) 0.00,-25.89% 63.76% -261.45% -1163.04% -,-26.65% 63.76% -263.18% -1165.52% -,-5.76% - - - -,-9.96% -3.40% 4.16% 1.43% -,187068.0 199751.0 108012.0 127369.0 151456.0,464101.0 447721.0 243261.0 257816.0 236869.0,20761.0 (1629.0) (456.0) 8692.0 (19573.0)
ALZN,Pharmaceuticals: Major,Health Technology,04/2024,-181.474,(2.29) (2.08) (1.05) (0.78) (0.85),-9.97% -98.21% -35.40% 9.30% -,-20.35% -144.96% -14.43% 9.30% -,6501.3 5939.7 4843.3 5687.0 5687.0,(0.44) (0.54) (0.51) (0.83) (0.48),17.65% -4.80% 38.02% -72.98% -,17.62% -6.72% 39.08% -74.46% -,- - - -,3045.5 13351.5 2012.9 821.7 316.9,5915.6 14516.4 2912.6 1814.0 1500.9,(8923.2) (6614.0) (2712.0) (2345.8) (1045.2)
AMAT,Industrial Machinery,Producer Manufacturing,10/2024,48.04,8.11 7.44 6.41 3.92 2.86,9.05% 16.12% 63.41% 36.93% -,5.07% 10.82% 62.70% 33.74% -,840 871 910 916 937,2.99% 11.39% 34.06% 17.74% -,2.38 1.85 1.86 2.02 1.85,28.62% -0.48% -8.05% 9.19% -,28.46% -0.95% -8.27% 7.92% -,25.92% - - - -,4.52% -3.01% -1.46% 0.09% -,16349 12194 12247 10578 8214,30729 26726 25825 22353 19035,8700 5399 5442 3804 3247
